date,nav,cash,all_cash,trend_signal,vol,prob,close
2015-06-12,1000000.0,1000000.0,,0.0,45.1653079928,0.567222118826,4453.79
2015-06-15,1000000.0,1000000.0,,-1.0,52.8290725957,0.64540456651,4432.92
2015-06-16,1000000.0,1000000.0,,-1.0,44.0310802579,0.57694116799,4455.9
2015-06-17,1000000.0,1000000.0,,-1.0,45.6369279813,0.567321057376,4468.98
2015-06-18,1000000.0,1000000.0,,0.0,58.6705566238,0.627348255675,4531.85
2015-06-19,1000000.0,1000000.0,,0.0,40.1434893015,0.570827338547,4513.42
2015-06-22,1000000.0,1000000.0,,0.0,47.0915496312,0.522248988391,4544.04
2015-06-23,1000000.0,1000000.0,,0.0,37.4435630525,0.550235979639,4548.74
2015-06-24,1000000.0,1000000.0,,1.0,44.2068210143,0.525824555124,4524.6
2015-06-25,1000000.0,1000000.0,,1.0,44.1474248549,0.554292818095,4514.01
2015-06-26,1000000.0,1000000.0,,1.0,51.4645195012,0.63488094213,4484.28
2015-06-29,1000000.0,1000000.0,,0.0,73.2979188627,0.343563598173,4379.86
2015-06-30,1000000.0,1000000.0,,0.0,45.3465426855,0.365748148242,4396.76
2015-07-01,1000000.0,1000000.0,,0.0,43.6356347079,0.545135508742,4429.23
2015-07-02,1000000.0,1000000.0,,0.0,40.3072545906,0.605655359013,4433.39
2015-07-06,1000000.0,1000000.0,,0.0,49.3666269141,0.540588607426,4418.66
2015-07-07,1000000.0,1000000.0,,0.0,66.2913885511,0.454045039511,4429.06
2015-07-08,1000000.0,1000000.0,,-1.0,62.7609345199,0.358016902371,4351.58
2015-07-09,1000000.0,1000000.0,,-1.0,54.5231383358,0.388550781635,4352.03
2015-07-10,1000000.0,1000000.0,,-1.0,62.3778991231,0.499400628272,4420.15
2015-07-13,1000000.0,1000000.0,,0.0,60.8392809774,0.509382326174,4494.47
2015-07-14,1000000.0,1000000.0,,0.0,46.0318491651,0.557906436796,4523.47
2015-07-15,1000000.0,1000000.0,,0.0,40.6888224234,0.535524205142,4528.36
2015-07-16,1000000.0,1000000.0,,0.0,55.9912759732,0.650036396263,4594.9
2015-07-17,1000000.0,1000000.0,,1.0,55.9492034413,0.731873248744,4661.6
2015-07-20,1000000.0,1000000.0,,1.0,43.3177872267,0.723711113836,4679.68
2015-07-21,1000000.0,1000000.0,,1.0,38.6235823178,0.72007746954,4674.41
2015-07-22,1000000.0,1000000.0,,1.0,57.3572779218,0.72679890486,4623.24
2015-07-23,1000000.0,1000000.0,,1.0,48.733426551,0.599168687986,4602.83
