date,open,high,low,close,ma5,ma10,ma20,ma50,ma200,ma1000,mva_band,std200,std50,cci,s_pct_k,s_pct_d,stoch,wr,tr1,tr2,tr3,month_change,tr,ztr,vol,fevol,fesignal,drtns,cc_delta,cc_pct,oc_delta,oc_pct,co_delta,co_pct,ret_daily,ret_today,ret_open,rtnvol,cr,mom,atr,3atr,ir,avg_tr,max_ir_window,min_ir_window,max_cplunger,min_cplunger,prob,macd,dx,stochStrength,cciStrength,macd_signal,macd_dur,macd_last_dur,is_churning
2015-06-03,4531.04,4539.36,4512.44,4519.86,4518.902,4517.546,4485.363,,,,,,,69.2336979135,71.9941716297,75.5020205602,75.5020205602,-30.7028599127,26.92,30.47,3.55,0.0,44.865299772,,,,False,0.00243297130779,10.97,0.00243297130779,22.15,0.00491251727143,-11.18,-0.0024674246972,0.00243297130779,-0.0024674246972,0.00491251727143,0.00597685780334,0.0207917478588,3.47870880368,44.865299772,134.595899316,,,,,,,,,-34.5630695468,-1,0,1,0,0,0
2015-06-04,4501.73,4526.21,4475.05,4487.03,4509.176,4515.719,4490.727,,,,,,,12.3782347766,51.9673294882,63.7346749804,63.7346749804,-68.059512504,51.16,6.35,44.81,0.0,45.7045931358,,,,False,-0.00726349931193,-32.83,-0.00726349931193,-18.13,-0.00401118618718,-14.7,-0.00326541129743,-0.00726349931193,-0.00326541129743,-0.00401118618718,0.00602007273768,0.020235267778,3.36129954899,45.7045931358,137.113779407,,,,,,,,,-42.0703974114,-1,0,1,0,0,0
2015-06-05,4483.43,4493.43,4452.32,4477.19,4502.964,4510.491,4494.509,,,,,,,-49.542330422,38.5176834672,51.1261792003,51.1261792003,-74.9319625038,41.11,6.4,34.71,0.0,45.0919807177,,,,False,-0.00219298734352,-9.84,-0.00219298734352,-3.6,-0.000802312442752,-6.24,-0.00139179155245,-0.00219298734352,-0.00139179155245,-0.000802312442752,0.00598770017742,0.0129559639949,2.16376298262,45.0919807177,135.275942153,,,,,,,,,-46.1174535603,-1,-1,1,0,0,0
2015-06-08,4476.69,4477.83,4423.8,4431.51,4484.896,4500.926,4493.152,,,,,,,-119.792932243,22.2769267416,36.7015529575,36.7015529575,-93.9638299538,54.03,0.64,53.39,0.0,46.283716622,,,,False,-0.0102028281132,-45.68,-0.0102028281132,-0.5,-0.000111677190381,-45.18,-0.010092278,-0.0102028281132,-0.010092278,-0.000111677190381,0.00568486977186,-0.0102191839536,-1.79761091523,46.283716622,138.851149866,,,,,,,,,-50.7652312993,-1,-1,1,0,0,0
2015-06-09,4421.02,4441.62,4392.45,4427.61,4468.64,4496.391,4492.6005,,,,,,,-163.653860694,22.1895068709,29.4455299108,29.4455299108,-77.8979129997,49.17,10.11,39.06,0.0,46.6685544057,,,,False,-0.000880061198102,-3.9,-0.000880061198102,-10.49,-0.00236713896618,6.59,0.00149060624019,-0.000880061198102,0.00149060624019,-0.00236713896618,0.00560104202745,-0.00663211039739,-1.1840850979,46.6685544057,140.005663217,,,,,,,,,-55.3268265856,-1,-1,1,0,0,0
2015-06-10,4440.54,4497.51,4435.29,4485.46,4461.76,4490.331,4495.841,,,,,,,-58.7274907229,40.3284723232,34.8870011183,34.8870011183,-41.5325622328,62.22,69.9,7.68,0.0,49.7660804849,,,,False,0.0130657397558,57.85,0.0130657397558,12.93,0.00292031140954,44.92,0.0101158868066,0.0130657397558,0.0101158868066,0.00292031140954,0.00634068544716,0.0104423424703,1.64687912014,49.7660804849,149.298241455,,,,,,,,,-31.8698694946,0,0,1,0,0,0
2015-06-11,4498.49,4511.32,4483.84,4488.47,4462.048,4485.612,4498.9365,,,,,,,-10.4872539529,50.3440199194,42.6155105197,42.6155105197,-39.6404324868,27.48,25.86,1.62,0.0,46.794603087,,,,False,0.0006710571491,3.01,0.0006710571491,13.03,0.00290494174511,-10.02,-0.00222741408784,0.0006710571491,-0.00222741408784,0.00290494174511,0.00633805171817,0.00977043738892,1.54155217145,46.794603087,140.383809261,,,,,,,,,-26.7753382032,1,1,1,0,0,0
2015-06-12,4467.38,4476.21,4449.21,4453.79,4457.368,4480.166,4496.874,,,,,,,-107.336162744,44.4516177039,43.5335641119,43.5335641119,-61.4407845109,27.0,12.26,39.26,0.0,45.789989342,,,,False,-0.00772646358336,-34.68,-0.00772646358336,-21.09,-0.00469870579507,-13.59,-0.00304205149327,-0.00772646358336,-0.00304205149327,-0.00469870579507,0.00541959858236,-0.0132960757716,-2.45333221079,45.789989342,137.369968026,,,,,,,,-12.8011563931,-33.6930318407,1,0,-1,1,0,1
2015-06-15,4416.14,4437.97,4396.13,4432.92,4457.65,4471.273,4493.8055,,,,,,,-171.820632356,34.9458239384,39.239694025,39.239694025,-74.5599698265,41.84,15.82,57.66,0.0,47.3726574298,,,,False,-0.00468589673065,-20.87,-0.00468589673065,-37.65,-0.00845347445659,16.78,0.00379969837913,-0.00468589673065,0.00379969837913,-0.00845347445659,0.00549613145535,-0.0177557804534,-3.23059602879,47.3726574298,142.117972289,,,,,,,,-13.5030595958,-42.6382234816,0,-1,-1,2,0,1
2015-06-16,4428.3,4463.2,4426.19,4455.9,4463.308,4465.974,4490.953,,,,,,,-94.2393905233,37.8368634424,38.5382787337,38.5382787337,-59.2720970537,37.01,30.28,6.73,0.0,45.9909697725,,,,False,0.00518394196151,22.98,0.00518394196151,-4.62,-0.0010422024309,27.6,0.00623264006504,0.00518394196151,0.00623264006504,-0.0010422024309,0.00555785735249,-0.0167462889347,-3.01308361706,45.9909697725,137.972909317,,,,,,,,-11.8943578897,-33.4244621323,-1,0,-1,3,0,1
